pixel_no,pixel_x,pixel_y,latitude,longitude,C12_real_mean,C12_real_sigma,C11_mean,C11_sigma,C12_imag_mean,C12_imag_sigma,C22_mean,C22_sigma
142,493,141,12.2483609957049,76.2141619103498,-151.01112,660.7102,17223.537,3477.0881,-676.62775,471.95834,3650.4888,1081.2953
143,493,142,12.2482366514177,76.2141367238433,-682.33093,769.13226,16192.814,4173.9844,-775.7551,592.28564,3192.2083,1022.0624
144,493,143,12.2481123071305,76.2141115373368,-833.1976,492.4727,13115.293,4085.7603,-619.94586,598.6356,2597.5896,481.22205
145,493,144,12.2479879628433,76.2140863508303,-755.5642,480.5978,10412.124,2387.515,-532.4922,499.79712,2474.3396,270.6269
146,493,145,12.2478636185561,76.2140611643237,-380.92593,274.17496,9074,610.8955,-627.4592,305.80072,2505.4,302.33426
147,493,146,12.2477392742689,76.2140359778172,-259.3037,356.9509,8655.613,551.77057,-657.9259,325.89536,2725.5723,189.1893
148,493,147,12.2476149299817,76.2140107913107,7.1944427,278.0488,8526.783,561.7198,-625.0518,310.69592,2805.7573,114.74486
149,493,148,12.2474905856945,76.2139856048042,153.44444,211.45103,8510.568,555.61536,-237.82037,467.0059,2878.4128,232.71979
150,493,149,12.2473662414073,76.2139604182976,210.29259,351.14035,8811.57,887.03796,187.26111,591.0434,2858.0295,403.62717
151,493,150,12.2472418971201,76.2139352317911,166.14075,686.86316,9170.473,1219.661,605.9,314.8658,2717.1575,542.81537
152,493,151,12.2471175528329,76.2139100452846,259.62222,905.23047,9663.939,1495.0813,640.1389,230.69473,2545.6667,483.138
153,493,152,12.2469932085457,76.213884858778,515.4778,1103.5096,10162.665,2150.3296,357.58517,370.12656,2643.9556,447.584
154,493,153,12.2468688642586,76.2138596722715,474.9685,1024.1836,11054.474,2659.9592,144.21666,345.13382,2918.3704,401.87613
155,493,154,12.2467445199714,76.213834485765,416.69446,882.6993,12188.85,2847.523,-124.73703,371.85413,3416.6406,628.223
156,493,155,12.2466201756842,76.2138092992584,170.87593,482.97662,13571.754,2883.8667,-344.6037,489.88278,3882.2612,793.61646
